brand,domain,email,email_source
Newcon Natural,newconatural.ca,hello@newconatural.ca,fallback
Milk Makeup,milkmakeup.com,hello@milkmakeup.com,fallback
M.A.G.Unique,magunique.ca,hello@magunique.ca,fallback
Pixi Beauty,pixibeauty.com,hello@pixibeauty.com,fallback
The Cumin Club,thecuminclub.com,hello@thecuminclub.com,fallback
OneBlade,onebladeshave.com,hello@onebladeshave.com,fallback
Sakara,sakara.com,hello@sakara.com,fallback
JUNOCO,junoco.com,hello@junoco.com,fallback
OffGrid,offgrid.co,hello@offgrid.co,fallback
Pretti.Cool,pretti.cool,hello@pretti.cool,fallback
Olive and June,oliveandjune.com,hello@oliveandjune.com,fallback
PROMiXX,promixx.com,hello@promixx.com,fallback
mypaume,mypaume.com,hello@mypaume.com,fallback
mokapuff,mokapuff.carrd.co,hello@mokapuff.carrd.co,fallback
HomeWetBar,homewetbar.com,hello@homewetbar.com,fallback
Honeydrop,honeydrop.com,hello@honeydrop.com,fallback
Lunya,lunya.co,hello@lunya.co,fallback
NorthWood Distributing,northwoodcandlesupply.com,hello@northwoodcandlesupply.com,fallback
Max and Lily,maxandlily.com,hello@maxandlily.com,fallback
Bleak Boutique,bleakboutique.com,hello@bleakboutique.com,fallback
Nightfall,nightfallstore.bigcartel.com,hello@nightfallstore.bigcartel.com,fallback
Flight Fragrances,flightfragrances.com,hello@flightfragrances.com,fallback
Tong Jerky,tongjerky.com,hello@tongjerky.com,fallback
The Blakery,theblakery.co,hello@theblakery.co,fallback
Stella & Dot,stelladot.com,hello@stelladot.com,fallback
Dach Everywhere,dacheverywhere.com,hello@dacheverywhere.com,fallback
Chella,chella.com,hello@chella.com,fallback
Solbari,solbari.com,hello@solbari.com,fallback
Soho Social,sohohome.com,hello@sohohome.com,fallback
F3 Energy,f3energy.com,hello@f3energy.com,fallback
