brand,domain,email,email_source
Spirit Shop,barspiritshop.com,hello@barspiritshop.com,fallback
Little Genie Productions,littlegenie.squarespace.com,hello@littlegenie.squarespace.com,fallback
Beyond Yoga,beyondyoga.com,hello@beyondyoga.com,fallback
Paddywax,paddywax.com,hello@paddywax.com,fallback
Juicy Couture,juicycouture.com,hello@juicycouture.com,fallback
VI Derm,vipeel.com,hello@vipeel.com,fallback
Bella Dahl,belladahl.com,hello@belladahl.com,fallback
Beginning Boutique US,beginningboutique.com,hello@beginningboutique.com,fallback
TeeFury,teefury.com,hello@teefury.com,fallback
Bellora Bijoux,bellora-bijoux.com,hello@bellora-bijoux.com,fallback
Adanola,adanola.com,hello@adanola.com,fallback
Super Smalls,supersmalls.com,hello@supersmalls.com,fallback
nixit,nixit.com,hello@nixit.com,fallback
Tropeaka,tropeaka.com.au,hello@tropeaka.com.au,fallback
Great Jones,greatjonesgoods.com,hello@greatjonesgoods.com,fallback
Ohmmm,ohmmmcare.com,hello@ohmmmcare.com,fallback
Lorals,mylorals.com,hello@mylorals.com,fallback
curatedbyalexis,curatedbyalexisp.com,hello@curatedbyalexisp.com,fallback
KNOTWTR,knotwtr.com,hello@knotwtr.com,fallback
TAFT,taftclothing.com,hello@taftclothing.com,fallback
Kulani Kinis,kulanikinis.com,hello@kulanikinis.com,fallback
Sassy Sacha Jewelry,sassysachajewelry.com,hello@sassysachajewelry.com,fallback
Party of Two,bookpartyoftwo.com,hello@bookpartyoftwo.com,fallback
Luna Sundara,lunasundara.com,hello@lunasundara.com,fallback
Kine CBD,getkine.com,hello@getkine.com,fallback
US Lounge,us.lounge.com,hello@lounge.com,fallback
PondHQ,pondhq.shop,hello@pondhq.shop,fallback
Negative Underwear,negativeunderwear.com,hello@negativeunderwear.com,fallback
SimplyFloss,simplyfloss.com,hello@simplyfloss.com,fallback
Chain Assembly,chainassembly.com,hello@chainassembly.com,fallback
