brand,domain,email,email_source
Specc's Chocolatier,speccsfudge.com,hello@speccsfudge.com,fallback
BakerCrate,bakercrate.com,hello@bakercrate.com,fallback
Plushie Dreadfuls,plushiedreadfuls.com,hello@plushiedreadfuls.com,fallback
Takeya USA,takeyausa.com,hello@takeyausa.com,fallback
Bougie Beasts,bougiebeasts.com,hello@bougiebeasts.com,fallback
Gnarly Nutrition,gognarly.com,hello@gognarly.com,fallback
Thread,threadc.com,hello@threadc.com,fallback
Piscifun,piscifun.com,hello@piscifun.com,fallback
Caudabe,caudabe.com,hello@caudabe.com,fallback
Cheer Up Games,cheerupgames.com,hello@cheerupgames.com,fallback
Holocuren,holocuren.com,hello@holocuren.com,fallback
Local Pervert,shoplocalpervert.com,hello@shoplocalpervert.com,fallback
Kosmic Kandles,kosmickandles.com,hello@kosmickandles.com,fallback
ABYstyle,abystyle.com,hello@abystyle.com,fallback
Craftmix,craftmix.com,hello@craftmix.com,fallback
Mojo Gummies,mojo.shop,hello@mojo.shop,fallback
Rosephoria,rosephoria.com,hello@rosephoria.com,fallback
Maaji,maaji.co,hello@maaji.co,fallback
RAËLIV Boutique,raeliv.boutique,hello@raeliv.boutique,fallback
VOLOOM,voloom.com,hello@voloom.com,fallback
LEKI USA,lekiusa.com,hello@lekiusa.com,fallback
Game Face Grooming,gamefacegrooming.com,hello@gamefacegrooming.com,fallback
Autumn Cashmere,autumncashmere.com,hello@autumncashmere.com,fallback
Manitobah USA,manitobah.com,hello@manitobah.com,fallback
Bondinage Latex,bondinage.com,hello@bondinage.com,fallback
Maxi-Cosi,maxicosi.com,hello@maxicosi.com,fallback
Le Monde Gourmand,gourmandbeauty.com,hello@gourmandbeauty.com,fallback
Surface Hair,surfacehair.com,hello@surfacehair.com,fallback
Wildebeest,wildebeest.co,hello@wildebeest.co,fallback
GhostBed,ghostbed.com,hello@ghostbed.com,fallback
