brand,domain,email,email_source
World Wide Stereo,worldwidestereo.com,hello@worldwidestereo.com,fallback
Strange Dollz Boutique,strange-dollz-boudoir.myshopify.com,hello@strange-dollz-boudoir.myshopify.com,fallback
Michael Stars,michaelstars.com,hello@michaelstars.com,fallback
GOLF le FLEUR,golflefleur.com,hello@golflefleur.com,fallback
Suugr Studio,suu.gr,hello@suu.gr,fallback
goodr,goodr.com,hello@goodr.com,fallback
HOMAGE,homage.com,hello@homage.com,fallback
Spark Gift Co,sparkgiftco.com,hello@sparkgiftco.com,fallback
Glitter Lingerie,glitterlingerie.com,hello@glitterlingerie.com,fallback
Legacybox,legacybox.com,hello@legacybox.com,fallback
Unihorn,unihornofficial.com,hello@unihornofficial.com,fallback
European Wax Center,waxcenter.com,hello@waxcenter.com,fallback
Pokesports,pokesports.org,hello@pokesports.org,fallback
Bed Threads,bedthreads.com,hello@bedthreads.com,fallback
RŌZ,rozstore.co,hello@rozstore.co,fallback
Coffee Blossom,blossomcoffeeroasters.com,hello@blossomcoffeeroasters.com,fallback
Craft Sportswear,craftsportswear.com,hello@craftsportswear.com,fallback
DSPTCH,dsptch.com,hello@dsptch.com,fallback
Karnox,karnox.com,hello@karnox.com,fallback
DM Snacks,dmsnacks.com,hello@dmsnacks.com,fallback
Warm People,warmpeople.co,hello@warmpeople.co,fallback
Animebae,animebae.co,hello@animebae.co,fallback
GRID Wallet,grid-wallet.com,hello@grid-wallet.com,fallback
Chains of metal,chainsofmetal.com,hello@chainsofmetal.com,fallback
Mill Rock East,millrockeast.com,hello@millrockeast.com,fallback
Percival Menswear,percivalclo.com,hello@percivalclo.com,fallback
WANDRD Gear,wandrd.com,hello@wandrd.com,fallback
IBEX,ibex.com,hello@ibex.com,fallback
OppaboCo,oppabo.co,hello@oppabo.co,fallback
Mauviel1830,mauviel-usa.com,hello@mauviel-usa.com,fallback
