brand,domain,email,email_source
RéVive Skincare,reviveskincare.com,hello@reviveskincare.com,fallback
Little Gamer Candle Co,littlegamercandleco.com,hello@littlegamercandleco.com,fallback
HomeTown Riot,hometownriot.com,hello@hometownriot.com,fallback
TOKK,tokktech.com,hello@tokktech.com,fallback
Calli Essentials,calliskin.com,hello@calliskin.com,fallback
TheraFun Accessories,therafunshop.com,hello@therafunshop.com,fallback
Apoterra,apoterra.com,hello@apoterra.com,fallback
CIGA design,cigadesign.com,hello@cigadesign.com,fallback
Echelon Fit US,echelonfit.com,hello@echelonfit.com,fallback
Otaku Scents,otakuscents.com,hello@otakuscents.com,fallback
May Lindstrom,maylindstrom.com,hello@maylindstrom.com,fallback
Perkies,perkies.com,hello@perkies.com,fallback
Irresistible Me,irresistibleme.com,hello@irresistibleme.com,fallback
Vortix Technology,vortix-technology.com,hello@vortix-technology.com,fallback
Cor Silver,thecorcollection.com,hello@thecorcollection.com,fallback
EVERGOODS,evergoods.us,hello@evergoods.us,fallback
Sundaze,sundazeskincare.com,hello@sundazeskincare.com,fallback
Naot Footwear,naot.com,hello@naot.com,fallback
Sonix,shopsonix.com,hello@shopsonix.com,fallback
JOI,choosejoi.co,hello@choosejoi.co,fallback
MySmile,mysmilesteeth.com,hello@mysmilesteeth.com,fallback
Hystar,hystar.gg,hello@hystar.gg,fallback
Collared Foxy,collaredfoxy.com,hello@collaredfoxy.com,fallback
Loftie,byloftie.com,hello@byloftie.com,fallback
Popkiller,popkiller.us,hello@popkiller.us,fallback
Wanan Luxury,wananluxury.com,hello@wananluxury.com,fallback
Hauty,hauty.com,hello@hauty.com,fallback
Lizush,lizush.com,hello@lizush.com,fallback
Etekcity,etekcity.com,hello@etekcity.com,fallback
Saranghae Skincare,lovesaranghae.com,hello@lovesaranghae.com,fallback
