brand,domain,email,email_source
Side Quest Shoppe,sidequestshoppe.com,hello@sidequestshoppe.com,fallback
CRAFTD,craftdlondon.com,hello@craftdlondon.com,fallback
White Mountain,whitemountainshoes.com,hello@whitemountainshoes.com,fallback
True,trueshop.us,hello@trueshop.us,fallback
Grind,grindcoffeeco.com,hello@grindcoffeeco.com,fallback
Fozzis,fozzis.com,hello@fozzis.com,fallback
Packed with Purpose,packedwithpurpose.gifts,hello@packedwithpurpose.gifts,fallback
Wild Bill's Olde Fashioned Soda Pop,drinkwildbills.com,hello@drinkwildbills.com,fallback
Summit & Steam,summitsteam.com,hello@summitsteam.com,fallback
The Urban Charm,theurbancharm.com,hello@theurbancharm.com,fallback
Ornot,ornotbike.com,hello@ornotbike.com,fallback
Warner Bros. Shop,wbshop.com,hello@wbshop.com,fallback
fragranceShop,fragranceshop.com,hello@fragranceshop.com,fallback
Veer Coffee Co,veercoffee.com,hello@veercoffee.com,fallback
AG Jeans,agjeans.com,hello@agjeans.com,fallback
Atlas Bar,atlasbars.com,hello@atlasbars.com,fallback
Simple Retro,simpleretro.com,hello@simpleretro.com,fallback
Klymit,klymit.com,hello@klymit.com,fallback
URBAN REVIVO,global.urbanrevivo.com,hello@global.urbanrevivo.com,fallback
Toor Knives,toorknives.com,hello@toorknives.com,fallback
Jonathan Adler,jonathanadler.com,hello@jonathanadler.com,fallback
Effie's Paper,effiespaper.com,hello@effiespaper.com,fallback
Lucy & Sam,lucyandsam.com,hello@lucyandsam.com,fallback
Puppy Pride,puppypride.store,hello@puppypride.store,fallback
Miss Me,missme.com,hello@missme.com,fallback
FoodCycler,foodcycler.com,hello@foodcycler.com,fallback
Woolx,woolx.com,hello@woolx.com,fallback
Tricomax,tricomax.com,hello@tricomax.com,fallback
ALIGNE,aligne.co,hello@aligne.co,fallback
Lovisa US,lovisa.com,hello@lovisa.com,fallback
