brand,domain,email,email_source
Montirex,montirex.com,hello@montirex.com,fallback
EltaMD,eltamd.com,hello@eltamd.com,fallback
LOWA Boots,lowa.com,hello@lowa.com,fallback
Vessel Brand,vesselgolf.com,hello@vesselgolf.com,fallback
Suzy Shier,suzyshier.com,hello@suzyshier.com,fallback
Farfetch US,farfetch.com,hello@farfetch.com,fallback
Omocat,omocat-shop.com,hello@omocat-shop.com,fallback
Sock Dreams,sockdreams.com,hello@sockdreams.com,fallback
Blackbough Swim,blackboughswim.com,hello@blackboughswim.com,fallback
Steve Madden US,stevemadden.com,hello@stevemadden.com,fallback
Sanshee,sanshee.com,hello@sanshee.com,fallback
Teepublic,teepublic.com,hello@teepublic.com,fallback
Pusheen,shop.pusheen.com,hello@pusheen.com,fallback
Toys R Us,toysrus.com,hello@toysrus.com,fallback
Princess Polly,princesspolly.com,hello@princesspolly.com,fallback
BBADTOYSTORE,bigbadtoystore.com,hello@bigbadtoystore.com,fallback
Vgen,vgen.co,hello@vgen.co,fallback
