brand,domain,email,email_source
Nanoleaf,nanoleaf.me,hello@nanoleaf.me,fallback
Rollors,rollors.com,hello@rollors.com,fallback
Impact Dog Crates,impactdogcrates.com,hello@impactdogcrates.com,fallback
Twelve South,twelvesouth.com,hello@twelvesouth.com,fallback
Oscar de la Renta,oscardelarenta.com,hello@oscardelarenta.com,fallback
Miansai,miansai.com,hello@miansai.com,fallback
TBCo,tbco.com,hello@tbco.com,fallback
Pepper,peppertheapp.com,hello@peppertheapp.com,fallback
VIVO,vivo-us.com,hello@vivo-us.com,fallback
Host,homegoods.com,hello@homegoods.com,fallback
Rehisk,rehisk.com,hello@rehisk.com,fallback
ROCKNOT,rocknot.com,hello@rocknot.com,fallback
Blue Sky,bluesky.com,hello@bluesky.com,fallback
VIEVE,vievebeauty.com,hello@vievebeauty.com,fallback
CRAVE,lovecrave.com,hello@lovecrave.com,fallback
Flaire & Co,flaireaccessories.com,hello@flaireaccessories.com,fallback
M.M.LaFleur,mmlafleur.com,hello@mmlafleur.com,fallback
Cou Cou Intimates,coucouintimates.com,hello@coucouintimates.com,fallback
Dukiri Apparel,dukiriapparel.com,hello@dukiriapparel.com,fallback
Outdoor Gear Exchange,gearx.com,hello@gearx.com,fallback
Mache,machecustoms.com,hello@machecustoms.com,fallback
Sundry,sundryclothing.com,hello@sundryclothing.com,fallback
Vanity Couture,vanitycouture.com,hello@vanitycouture.com,fallback
Vittoria,vittoria.com,hello@vittoria.com,fallback
Welsh Mtn Co,welshmtn.com,hello@welshmtn.com,fallback
NEODERMA,neoderma.com,hello@neoderma.com,fallback
Gino's Awards,ginosonline.com,hello@ginosonline.com,fallback
TruSkin,truskin.com,hello@truskin.com,fallback
SOMMER SWIM,sommerswim.com,hello@sommerswim.com,fallback
SpotOn,spoton.com,hello@spoton.com,fallback
